"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.225817417E0,-3.381318512E0,1.116228790E1,2.127974854E0,1.185572702E1
2.235754417E0,-3.774999847E0,1.238314911E1,2.521656189E0,1.318907713E1
2.245692417E0,-4.326453094E0,1.310090652E1,3.192561035E0,1.416136978E1
2.255629417E0,-4.981790314E0,1.279628998E1,3.688030701E0,1.421846836E1
2.265567417E0,-5.073699188E0,1.193348419E1,3.629502411E0,1.346565097E1
2.275504417E0,-4.011657715E0,1.187495590E1,3.209475861E0,1.293865181E1
2.285441417E0,-2.495909729E0,1.207374252E1,2.918031921E0,1.266963828E1
2.295379417E0,-1.911524963E0,1.246173569E1,2.727478180E0,1.289914421E1
2.305316417E0,-2.547702026E0,1.236099518E1,2.200424194E0,1.281120034E1
2.315253417E0,-3.426225128E0,1.142214752E1,1.650467834E0,1.203862603E1
2.325191417E0,-3.096161499E0,1.121542740E1,8.728349304E-1,1.166764195E1
2.335128417E0,-2.321222992E0,1.102217926E1,5.763015747E-2,1.126409486E1
2.345066417E0,-1.837429047E0,1.069316345E1,-6.047424316E-1,1.086672000E1
2.355003417E0,-1.847757568E0,1.009530670E1,-8.806187439E-1,1.030072399E1
2.364940417E0,-1.795366516E0,8.912017365E0,-1.009051666E0,9.146889072E0
2.374878417E0,-1.474882965E0,7.204518127E0,-1.327289886E0,7.472754489E0
2.384815417E0,-1.110690308E0,6.011798401E0,-1.689835968E0,6.342783188E0
2.394753417E0,-9.518705750E-1,4.891977081E0,-1.962269440E0,5.356117877E0
2.404690417E0,-8.542735291E-1,3.889960785E0,-2.197879486E0,4.548873751E0
2.414627417E0,-6.563850403E-1,3.104544067E0,-2.316133575E0,3.928550614E0
2.424565417E0,-5.472619629E-1,2.225571899E0,-2.194286957E0,3.172942039E0
2.434502417E0,-4.099974060E-1,1.691183167E0,-2.097138977E0,2.725103716E0
2.444440417E0,-1.219963074E-1,1.408570862E0,-2.073188782E0,2.509395684E0
2.454377417E0,3.326083374E-1,1.431772614E0,-1.994901581E0,2.477949443E0
2.464314417E0,4.546046448E-1,1.132694550E0,-1.794019318E0,2.169831246E0
2.474252417E0,3.986210632E-1,5.460644531E-1,-1.453178101E0,1.602751300E0
2.484189417E0,3.987707520E-1,6.991960144E-1,-1.105900269E0,1.367811604E0
